Academic,Food,Transportation,Infrastructure,Work,Finance,Health,Other
Mode of conduct of lectures should be both in-person and remote in every course,Provide cheaper and higher quality food options on campus,reduce parking fee on campus,Renovated campus housing,Students should be allowed balance between work and life.,Lower the tuition and fee for out-of-state students.,Healthier food options,Availability of graduate student living
Only open book exams to ensure conceptual understanding,"diversity in food options, Make meal plans more flexible/affordable, more Asian food on campus",Better Transportation ,More library space,Increased GRA pay,spending: Lower the tuition and fee for out-of-state students.,Easier and free access to mental health help,More funding opportunities
Each grad student has1 advisor to know closely what is their academic progress,Diversity in food options,more bus routes,Better wifi coverage on campus,More RA/TA opportunities.,Money: Lower student fees,Easier and free access to mental health help,Better assignments
More variety of offered courses,Cheaper food,Reduce parking fees on campus ,Provide more hands-on experiment on networks,More RA/TA opportunities.,Money: Lower housing rent.,4. Healthcare availability on weekends,Safety on campus
Add more automated seats for each course and smoothen the registration process such that all students can take courses they desire,Diversity in food options ,Free campus parking,Provide more books in library,Increased GRA pay ,Money: More funding support for ECE Students,"I don't think 4 course rule for students to be considered full-time is fair. Georgia Tech has pretty heavy courses and even when we create a balance by taking a combination of light-heavy courses it becomes too much. There isn't any learning there, nor does it help students do better later in life. This just creates unnecessary stress and anxiety. I would rather have 3 manageable courses are understand it properly compared to facing mental anxiety and stress just to survive it.",More recreational activities
"Exams should not hold a lot of weightage, instead there should be multiple assignments for grading",Cheap and better quality food offerings,more stinger bus routes,Provide more monitors in library,Increased GRA pay,5. Lower student fees. ,"1. I don't think 4 course rule for students to be considered full-time is fair. Georgia Tech has pretty heavy courses and even when we create a balance by taking a combination of light-heavy courses it becomes too much. There isn't any learning there, nor does it help students do better later in life. This just creates unnecessary stress and anxiety. I would rather have 3 manageable courses are understand it properly compared to facing mental anxiety and stress just to survive it.",Improve Wi-Fi speed
only open book exams to ensure conceptual understanding stress busting activities every week on campus,More on campus late night food options,More. bike racks,Lower housing rent.,Increase opportunities for GRA/GTA roles in ECE department,Free Coffee in Grad Lounges,Raise mental health awareness,More outdoor events organized by different student societies.
Offer more relevant courses in specialisations,Discounts on COSTCO for foods and gas,Better Transportation,Lower housing rent.,"not that instructive, it will be better if the TA or the professor can provide",1. Lower student fees ,mental health,Sleep early
Giving opportunity to students to drop courses anytime during the,more and cheaper food options,Should be more food options on campus so that lines are shorter during busy times.,Money: Lower housing rent.,More GTA/GRA opportunities,Lower the tuition and fee for out-of-state students.,More food options/free healthy food to be available on campus,Get up early
Better communication from course TAs and instructors.,More on campus late night food options,2. More buses for transportation; More stinger bus routes,Lower housing rent,Provide more hands-on experiment on networks,1. Lower the tuition and fee for out-of-state students.,More accessible free mental health help,Eat more
More classes should allow students to attend remotely as this course does.,Cheap and better quality food offerings,More stinger bus routes,Provide more on-campus housing options for graduate students.,Increased GRA pay,tuition,,Rest more
Provide more industrial-related courses/projects. ,Healthier food options on campus,Better transportation in campus,Provide more on campus housing for grad students,"I wish there could be less assignments, more project works or hands-on labs (specially for grad student)",Lesser fees especially for out-of-state students,,Drink more water
More ECE course options.,Healthier food options,Free parking for students,More safe housing options for students on and off campus,More RA/TA opportunities.,Lower student fees,,semester without affecting their transcript
less course pressure,Free food,2. I think that there should be more food options on campus so that lines are shorter during busy times. One way to do this is to have the market on Skiles walkway open more frequently.,Provide more hands on experiments on Networks ,Increase opportunities for GRA/GTA roles in ECE department,,,Give students the full week of Thanksgiving off - some students live in
Better course option,Food: Free food,More convenient bus services.,More than one gym to reduce crowding ,More support for job search,,,different states and need to be able to visit family.
only open book exams to ensure conceptual understanding,More on campus late night food options,We can have free shared bikes or scooters for students to access in the campus,,in-campus job: More RA/TA opportunities.,,,better consultation
Better system for choosing classes,Free food,Better transportation facilities in and around campus,,School: More RA/TA opportunities.,,,more security presence
Being able to easily register for courses from schools other than your,Provide more food choices from more cultures in the canteen.,We can have free shared bikes or scooters for students to access on the campus,,"1. I wish there could be less assignments, more project works or hands-on labs (specially for grad student)",,,professors opening research labs
More ECE course options.,Cheaper prices of food on campus. Most students at Tech work,More buses for transportation,,2. Increase opportunities for GRA/GTA roles in ECE department,,,supportive environment
Better system for choosing classes,More on campus late night food options,,,Reasonable homework,,,Better internet
"Provide more ECE course options, especially in specializations",Should be more food options on campus so that lines are shorter during busy times.,,,More support for job search,,,Recreational activities and sports should be free of charge.
Improve course registration such that students are better able to take courses they are interested in,Provide more Vegan food options in the dining halls,,,"2. Less tests, more project works or hands-on labs (specially for grad student)",,,Safety on campus
"Require less courses for grad students to be full-time, especially international students",3. Cheaper prices or more free food options on campus; More on campus late night food options,,,Increased GRA pay,,,Sleep early
"Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning",More on campus late night food options,,,Cheaper prices of food on campus. Most students at Tech work,,,Eat more
Grades should be provided more promptly so students can more quickly learn from their mistakes and understand their current grade standings.,More on campus late night food options,,,4. Increase GTA/GRA roles in ECE,,,Rest more
More classes offered,2. I think that there should be more food options on campus so that lines are shorter during busy times. One way to do this is to have the market on Skiles walkway open more frequently.,,,Add more focus areas with ergonomic chairs and monitors such that students can work upto late hours on-campus without eye and back strain,,,Safety on campus
better system for choosing classes,5. Late night food options,,,More RA/TA opportunities,,,own school
More ECE course options.,More and cheaper dining options ,,,Reduced coursework( 4 subjects every semester is hectic),,,Create more study spaces on campus
"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",food,,,More RA/TA opportunities,,,Safety on campus
Mandatory physical and mental health classes,Cheap and better quality food offerings,,,Provide more hands on experiments on Networks ,,,increase more restaurant on campus
More variety of offered courses,More food options/free healthy food to be available on campus,,,,,,Regular events for international students to know the America better
Giving opportunity to students to drop courses anytime during the semester without affecting their transcript,Increasing visibility and ease of using dining halls,,,,,,"Besides, I wish there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day"
Classes should have more windows for ventilation,Late night dining options,,,,,,providing more projects that give a hands on experience to students
More ECE course options,,,,,,,less emails
More ECE course options,,,,,,,architecture of new buildings should be less industrial
Improve Fall Course availability. (Spring has a lot of interesting courses and fall has very few),,,,,,,a 'real' soccer court with two gates
All international students to take 3 courses for full credit instead of 4,,,,,,,Increased security and police presence
"For the optional problems, sometimes the presentation in the class is",,,,,,,Recreational activities and sports should be free of charge
a good example,,,,,,,Free ice cream on Fridays
more classes offered,,,,,,,"Increase frequency of free, fun events put on for students"
Reduce number of courses per semester for international students,,,,,,,Qualified professors
Offer more relevant courses in specialisations,,,,,,,Give students the full week of Thanksgiving off - some students live in
More classes should allow students to attend remotely as this course does,,,,,,,different states and need to be able to visit family.
Improve course availability ,,,,,,,Easy switch between the programs or disciplines if students lose their
Mandatory physical and mental health classes ,,,,,,,interest in their current program
Make class syllabi publicly available ,,,,,,,increased gra pay
Easier registration process (course registrtation),,,,,,,more hands on experience
Increase capacity of courses,,,,,,,Create more study spaces on campus
"Give international (grad) students the flexibility to decide whether they want to take 3 or 4 courses during a semester. (Currently intl. students must take 4 courses every semester, which gets pretty hectic and is unreasonable. I mean, we could take 3+4+3 courses in three semesters as opposed to 4+2+2. You get what I mean.)",,,,,,,Social events for students to get to know each other
Increase capacity of courses,,,,,,,More crime prevention measures 
Improve Fall Course availability. (Spring has a lot of interesting courses and fall has very few),,,,,,,Increased security and police presence
To reduce number of courses per semester for international students(4+4+2 -> 3+4+3),,,,,,,Better printing system
Each grad student has1 advisor to know closely what is their academic progress,,,,,,,More recreational activities
3. Improve Fall Course avalaibilty. (Spring has a lot of interesting courses and fall has very few),,,,,,,Better curriculum
want to take 3 or 4 courses during a semester. (Currently intl. students,,,,,,,Make it easier to make appointments at Stamps
"must take 4 courses every semester, which gets pretty hectic and is",,,,,,,Training for career planning
"unreasonable. I mean, we could take 3+4+3 courses in three semesters",,,,,,,Create more study spaces on campus
Reasonable homework,,,,,,,Form a study group
More ECE course options.,,,,,,,Improve road condition
Better system for choosing classes,,,,,,,Discounted taxes for Student Employees
"2. Less tests, more project works or hands-on labs (specially for grad student)",,,,,,,More student coupons we can use in daily life
3. More ECE course options.,,,,,,,Make meal plans more flexible/affordable
Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),,,,,,,better printing system
4. Reducing the number of exams but increasing the number of HW,,,,,,,More funding opportunities.
5. To reduce number of courses per sem for international students,,,,,,,free books
More ECE course options or larger class sizes,,,,,,,more student events
Be more friendly for other major students to select CS major courses. ,,,,,,,less assignments
move all courses online ,,,,,,,more equipment
Giving opportunity to students to drop courses anytime during the semester without affecting their transcript,,,,,,,larger deadlines
"I don't think 4 course rule for students to be considered full-time is fair. Georgia Tech has pretty heavy courses and even when we create a balance by taking a combination of light-heavy courses it becomes too much. There isn't any learning there, nor does it help students do better later in life. This just creates unnecessary stress and anxiety. I would rather have 3 manageable courses are understand it properly compared to facing mental anxiety and stress just to survive it.",,,,,,,campus life: Having students participate in games
Cancel the minimal 12 credits rule for international students,,,,,,,Recreational activities and sports should be free of charge.
academic (load) ,,,,,,,4. Fostering a success-oriented mindset and sense of belonging
Academic (grades),,,,,,,Give international (grad) students the flexibility to decide whether they
more extra credit offered,,,,,,,as opposed to 4+2+2. You get what I mean.)
Optional problems to solve instead of presentations can help students in receiving extra credits since presentations are limited in number per class,,,,,,,better printing system
Mode of conduct of lectures should be both in-person and remote in every course,,,,,,,Make meal plans more flexible/affordable
"1. I don't think 4 course rule for students to be considered full-time is fair. Georgia Tech has pretty heavy courses and even when we create a balance by taking a combination of light-heavy courses it becomes too much. There isn't any learning there, nor does it help students do better later in life. This just creates unnecessary stress and anxiety. I would rather have 3 manageable courses are understand it properly compared to facing mental anxiety and stress just to survive it.",,,,,,,5. More fun events available to all students 
3. Offer more relevant courses in specialisations,,,,,,,More fun events available to all students 
More flexible courses and registration options,,,,,,,More number of Escooters on-campus
An exam archive for students to prep for tests,,,,,,,I think that the CULC roof should be open everyday.
To reduce number of courses per sem for international students,,,,,,,6. Give students the full week of Thanksgiving off - some students live in
Reduced coursework( 4 subjects every semester is hectic),,,,,,,different states and need to be able to visit family
,,,,,,,Discussion of research topics every once in a while (monthly)
,,,,,,,More student interaction session 
,,,,,,,More employment opportunities on campus
,,,,,,,More GT police presense (especially in the evening)
,,,,,,,living space
,,,,,,,faculty
,,,,,,,Increased number of on-campus employment opportunities for student
,,,,,,,"Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain"
,,,,,,,Easy switch between the programs or disciplines if students lose their interest in their current program
,,,,,,,there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day 
,,,,,,,Physical activities which will help bond
,,,,,,,More student interaction sessions
,,,,,,,More crime prevention measures
,,,,,,,increase more restaurant on campus
,,,,,,,Record all lectures and make them available on canvas 
,,,,,,,More news about coming campus events
,,,,,,,More news about coming campus events
