Academic,Food,Transportation,Infrastructure,Work,Finance,Health,Other
,,,,,,,1. Create Opportunities to Engage With Alumni
,,,,,,,3. Embrace Diversity
,,,,,,,4. Fostering a success-oriented mindset and sense of belonging
,,,,,,,5. Expanded access to experiential learning activities
,,,,,,,Give more days off during the semester. We seriously need a break!
,,,,,,,3. Psychological consultation system
,,,,,,,4. Interesting student events
,,,,,,,More events for the students on campus
,,,,,,,More outdoor activities for students
,,,,,,,I think that the CULC roof should be open everyday.
,,,,,,,I think that registration should be easier.
,,,,,,,I think that the architecture of new buildings should be less industrial.
,,,,,,,Less e-mails
,,,,,,,discussion of research topics every once in a while (monthly)
,,,,,,,I wish there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day
,,,,,,,I wish there could be open project or lab proposal session where student could propose their interested lab or project that which
,,,,,,,More convenient traffic in the campus
,,,,,,,Better Wi-Fi coverage
,,,,,,,More students coupons can use in daily life
,,,,,,,More news about coming events
,,,,,,,Give students the full week of Thanksgiving off - some students live in different states and need to be able to visit family.
,,,,,,,More resources for students who commute.
,,,,,,,Recreational activities and sports should be free of charge.
,,,,,,,Increased number of on-campus employment opportunities for student
,,,,,,,Cheaper accommodation
,,,,,,,Fewer subjects per semester
,,,,,,,More social activities
,,,,,,,More collaboration based assignment
,,,,,,,Affordable meal options
,,,,,,,More areas on campus to study
,,,,,,,Affordable meal options
,,,,,,,More areas on campus to study
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Steps should be taken to spread out midterms such that a student does not have 3+ midterms in one week. 
,,,,,,,less noisy A/C units on buildings
,,,,,,,hop-on campus golfcarts
,,,,,,,better looking OSCAR
,,,,,,,free ice cream on Fridays
,,,,,,,Social events for students to get to know each other
,,,,,,,Regular events for international students to know the America better
,,,,,,Healthier food options,
,,,,,,Healthcare availability on weekends,
,,,,,,,Increase in safety around campus
,,,,,,,Improve road condition
,,,,,,,Improve Wi-Fi speed
,,,,,,,More activities for grad students
,,,,,,,A 'real' soccer court with two gates.
,,,,,,,More outdoor events organized by different student societies.
,,,,,,,Provide some dorms for the graduate-level students.
,,,,,,,Please schedule office hours weekly on a regular basis
,,,,,,,More/Quick responsiveness on Piazza
,,,,,,,More police presence around surrounding areas off campus in the evening
,,,,,,,Better homecoming performer selection
,,,,,,,Provide digital streaming services for all registered students
,,,,,,,Lower cirme rate
,,,,,,,More social events
,,,,,,healthier foods on campus,
,,,,,,,better vending machines on campus
,,,,,,,reducing student fees
,,,,,,,Provide some reading materials before each lecture
,,,,,,,"In assignments, provide the original questions"
,,,,,,,None
,,,,,,,Discounted taxes for Student Employees
,,,,,,,Free snacks
,,,,,,,Discounted laptops
,,,,,,,Lesser num of compulsory creds internationals
,,,,,,,Interactive sessions
,,,,,,,increased pay gra
,,,,,,,lower student fees
,,,,,,,increase more restaurant on campus
,,,,,,,Discounted taxes for Student Employees
,,,,,,,1. Create Opportunities to Engage With Alumni
,,,,,,,3. Embrace Diversity
,,,,,,,4. Fostering a success-oriented mindset and sense of belonging
,,,,,,,5. Expanded access to experiential learning activities
,,,,,,,Give more days off during the semester. We seriously need a break!
,,,,,,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",
,,,,,,,Step3
,,,,,,,3. Psychological consultation system
,,,,,,,4. Interesting student events
,,,,,,,More events for the students on campus
,,,,,,,More outdoor activities for students
,,,,,,,I think that the CULC roof should be open everyday.
,,,,,,,I think that registration should be easier.
,,,,,,,I think that the architecture of new buildings should be less industrial.
,,,,,,,Less e-mails
,,,,,,,discussion of research topics every once in a while (monthly)
,,,,,,,I wish there could be some centralize system which could sync the assignment submission date that no two or three assignments due on same day
,,,,,,,I wish there could be open project or lab proposal session where student could propose their interested lab or project that which
,,,,,,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work"".",
,,,,,,,More convenient traffic in the campus
,,,,,,,Better Wi-Fi coverage
,,,,,,,More students coupons can use in daily life
,,,,,,,More news about coming events
,,,,,,,Give students the full week of Thanksgiving off - some students live in different states and need to be able to visit family.
,,,,,,,More resources for students who commute.
,,,,,,,Recreational activities and sports should be free of charge.
,,,,,,,Increased number of on-campus employment opportunities for student
,,,,,,,Cheaper accommodation
,,,,,,,Fewer subjects per semester
,,,,,,,More social activities
,,,,,,,More collaboration based assignment
,,,,,,,Affordable meal options
,,,,,,More accessible free mental health help,
,,,,,,,More areas on campus to study
